Atom,U,J0,cite,
rare earths,,,,
La,5.5,0.6,https://doi.org/10.1016/j.commatsci.2014.07.030,
Ce,2.5,0.7,https://doi.org/10.1016/j.commatsci.2014.07.030,
Pr,4,1,https://doi.org/10.1016/j.commatsci.2014.07.030,
Nd,3.1,1,https://doi.org/10.1016/j.commatsci.2014.07.030,
Pm,3.4,1,https://doi.org/10.1016/j.commatsci.2014.07.030,
Sm,3.3,1,https://doi.org/10.1016/j.commatsci.2014.07.030,
Eu,3,1,https://doi.org/10.1016/j.commatsci.2014.07.030,
Gd,4.6,0.7,https://doi.org/10.1016/j.commatsci.2014.07.030,
Tb,5,1,https://doi.org/10.1016/j.commatsci.2014.07.030,
Dy,5,1,https://doi.org/10.1016/j.commatsci.2014.07.030,
Ho,4.9,1,https://doi.org/10.1016/j.commatsci.2014.07.030,
Er,4.2,1,https://doi.org/10.1016/j.commatsci.2014.07.030,
Tm,4.8,1,https://doi.org/10.1016/j.commatsci.2014.07.030,
Yb,3,0.67,https://doi.org/10.1016/j.commatsci.2014.07.030,
Lu,5.5,0.95,https://doi.org/10.1016/j.commatsci.2014.07.030,
actinitdes,,,,
Ac ,2,1,,
Th,2,1,,
Pa,2,1,,
U,2,1,https://doi.org/10.1016/j.jnucmat.2019.151828,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.70.054405
Np,2,1,,
Pu,2,1,,
Am,2,1,,
Cm,2,1,,
Bk,2,1,,
Cr,2,1,,
Es,2,1,,
Fm,2,1,,
Md,2,1,,
No,2,1,,
Lr,2,1,,
